rank,final_worth,category,personName,age,country,source,industry_billionaires,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,population_country,source_1,source_2,source_3
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,L'Oréal,Fashion & Retail,France,False,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,1953.0,7.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,67059887.0,L'Oréal,,
12,79200,Technology,Larry Page,50.0,United States,Google,Technology,United States,True,D,M,3/26/1973 0:00,Page,Larry,1973.0,3.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Google,,
13,77300,Fashion & Retail,Amancio Ortega,87.0,Spain,Zara,Fashion & Retail,Spain,True,U,M,3/28/1936 0:00,Ortega,Amancio,1936.0,3.0,28.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,47076781.0,Zara,,
14,76000,Technology,Sergey Brin,49.0,United States,Google,Technology,United States,True,D,M,8/21/1973 0:00,Brin,Sergey,1973.0,8.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Google,,
15,68000,Food & Beverage,Zhong Shanshan,68.0,China,"Beverages, pharmaceuticals",Food & Beverage,China,True,U,M,12/1/1954 0:00,Zhong,Shanshan,1954.0,12.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Beverages, pharmaceuticals,
16,64400,Technology,Mark Zuckerberg,38.0,United States,Facebook,Technology,United States,True,D,M,5/14/1984 0:00,Zuckerberg,Mark,1984.0,5.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Facebook,,
17,59000,Diversified,Charles Koch & family,87.0,United States,Koch Industries,Diversified,United States,False,D,M,11/1/1935 0:00,Koch,Charles,1935.0,11.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Koch Industries,,
17,59000,Diversified,Julia Koch & family,60.0,United States,Koch Industries,Diversified,United States,False,D,F,4/12/1962 0:00,Koch,Julia,1962.0,4.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Koch Industries,,
19,58800,Fashion & Retail,Jim Walton,74.0,United States,Walmart,Fashion & Retail,United States,False,D,M,6/7/1948 0:00,Walton,Jim,1948.0,6.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Walmart,,
20,57600,Fashion & Retail,Rob Walton & family,78.0,United States,Walmart,Fashion & Retail,United States,False,D,M,10/27/1944 0:00,Walton,Rob,1944.0,10.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Walmart,,
21,56700,Fashion & Retail,Alice Walton,73.0,United States,Walmart,Fashion & Retail,United States,False,D,F,10/7/1949 0:00,Walton,Alice,1949.0,10.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Walmart,,
22,54400,Media & Entertainment,David Thomson & family,65.0,Canada,Media,Media & Entertainment,Canada,False,U,M,6/12/1957 0:00,Thomson,David,1957.0,6.0,12.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,36991981.0,Media,,
23,50100,Technology,Michael Dell,58.0,United States,Dell Technologies,Technology,United States,True,D,M,2/23/1965 0:00,Dell,Michael,1965.0,2.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Dell Technologies,,
24,47200,Diversified,Gautam Adani,60.0,India,"Infrastructure, commodities",Diversified,India,True,D,M,6/24/1962 0:00,Adani,Gautam,1962.0,6.0,24.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Infrastructure, commodities,
25,45100,Fashion & Retail,Phil Knight & family,85.0,United States,Nike,Fashion & Retail,United States,True,D,M,2/24/1938 0:00,Knight,Phil,1938.0,2.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Nike,,
26,45000,Technology,Zhang Yiming,39.0,China,TikTok,Technology,China,True,D,M,1/1/1984 0:00,Zhang,Yiming,1984.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,TikTok,,
27,42900,Fashion & Retail,Dieter Schwarz,83.0,Germany,Retail,Fashion & Retail,Germany,False,D,M,9/24/1939 0:00,Schwarz,Dieter,1939.0,9.0,24.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Retail,,
28,40100,Fashion & Retail,François Pinault & family,86.0,France,Luxury goods,Fashion & Retail,France,True,D,M,8/21/1936 0:00,Pinault,François,1936.0,8.0,21.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,67059887.0,Luxury goods,,
29,39100,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Shipping,Logistics,Germany,False,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,1937.0,6.0,2.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Shipping,,
30,38900,Food & Beverage,Giovanni Ferrero,58.0,Belgium,"Nutella, chocolates",Food & Beverage,Italy,False,U,M,9/21/1964 0:00,Ferrero,Giovanni,1964.0,9.0,21.0,117.11,1.4,529606710418.0,79.7,103.9,81.6,11484055.0,Nutella, chocolates,
31,38300,Food & Beverage,Jacqueline Mars,83.0,United States,"Candy, pet food",Food & Beverage,United States,False,U,F,10/10/1939 0:00,Mars,Jacqueline,1939.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Candy, pet food,
31,38300,Food & Beverage,John Mars,87.0,United States,"Candy, pet food",Food & Beverage,United States,False,U,M,10/15/1935 0:00,Mars,John,1935.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Candy, pet food,
33,38000,Diversified,Li Ka-shing,94.0,Hong Kong,Diversified,Diversified,Hong Kong,True,U,M,6/13/1928 0:00,Li,Ka-shing,1928.0,6.0,13.0,,,,,,,,Diversified,,
34,35300,Technology,Ma Huateng,51.0,China,Internet media,Technology,China,True,D,M,10/29/1971 0:00,Ma,Huateng,1971.0,10.0,29.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Internet media,,
35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Casinos,Gambling & Casinos,United States,False,U,F,10/10/1945 0:00,Adelson,Miriam,1945.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Casinos,,
35,35000,Finance & Investments,Ken Griffin,54.0,United States,Hedge funds,Finance & Investments,United States,True,U,M,10/15/1968 0:00,Griffin,Ken,1968.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
37,34700,Food & Beverage,Mark Mateschitz,30.0,Austria,Red Bull,Food & Beverage,Austria,False,N,M,5/7/1992 0:00,Mateschitz,Mark,1992.0,5.0,7.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,8877067.0,Red Bull,,
38,33400,Automotive,Robin Zeng,54.0,China,Batteries,Automotive,Hong Kong,True,D,M,1/1/1969 0:00,Zeng,Robin,1969.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Batteries,,
39,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Fashion retail,Fashion & Retail,Japan,True,U,M,2/7/1949 0:00,Yanai,Tadashi,1949.0,2.0,7.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,126226568.0,Fashion retail,,
40,32100,Diversified,Len Blavatnik,65.0,United Kingdom,"Music, chemicals",Diversified,United States,True,D,M,6/1/1957 0:00,Blavatnik,Len,1957.0,6.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Music, chemicals,
41,31600,Fashion & Retail,Alain Wertheimer,74.0,United States,Chanel,Fashion & Retail,France,False,U,M,8/28/1948 0:00,Wertheimer,Alain,1948.0,8.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Chanel,,
41,31600,Fashion & Retail,Gerard Wertheimer,72.0,United States,Chanel,Fashion & Retail,France,False,U,M,1/9/1951 0:00,Wertheimer,Gerard,1951.0,1.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Chanel,,
43,31200,Logistics,Gianluigi Aponte,82.0,Switzerland,Shipping,Logistics,Switzerland,True,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,1940.0,6.0,27.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Shipping,,
43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Shipping,Logistics,Switzerland,True,Split Family Fortune,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,1945.0,3.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Shipping,,
45,30200,Technology,Colin Zheng Huang,43.0,China,E-commerce,Technology,China,True,U,M,2/2/1980 0:00,Huang,Colin Zheng,1980.0,2.0,2.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,E-commerce,,
46,29700,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Fasteners,Manufacturing,Germany,True,U,M,4/20/1935 0:00,Wuerth,Reinhold,1935.0,4.0,20.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Fasteners,,
47,29500,Real Estate,Lee Shau Kee,95.0,Hong Kong,Real estate,Real Estate,Hong Kong,True,D,M,1/29/1928 0:00,Lee,Shau Kee,1928.0,1.0,29.0,,,,,,,,Real estate,,
48,28500,Finance & Investments,Jeff Yass,64.0,United States,"Trading, investments",Finance & Investments,United States,True,U,M,7/17/1958 0:00,Yass,Jeff,1958.0,7.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Trading, investments,
49,28100,Finance & Investments,Jim Simons,84.0,United States,Hedge funds,Finance & Investments,United States,True,D,M,4/25/1938 0:00,Simons,Jim,1938.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
50,27800,Finance & Investments,Stephen Schwarzman,76.0,United States,Investments,Finance & Investments,United States,True,D,M,2/14/1947 0:00,Schwarzman,Stephen,1947.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
51,27400,Automotive,Susanne Klatten,60.0,Germany,"BMW, pharmaceuticals",Automotive,Germany,False,U,F,4/28/1962 0:00,Klatten,Susanne,1962.0,4.0,28.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,BMW, pharmaceuticals,
52,27000,Metals & Mining,Gina Rinehart,69.0,Australia,Mining,Metals & Mining,Australia,False,D,F,2/9/1954 0:00,Rinehart,Gina,1954.0,2.0,9.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,25766605.0,Mining,,
53,26700,Technology,William Ding,51.0,China,Online games,Technology,China,True,U,M,10/1/1971 0:00,Ding,William,1971.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Online games,,
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mining,Metals & Mining,Mexico,False,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,1953.0,10.0,26.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,126014024.0,Mining,,
55,25600,Technology,Shiv Nadar,77.0,India,software services,Technology,India,True,D,M,7/18/1945 0:00,Nadar,Shiv,1945.0,7.0,18.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,software services,,
56,25500,Energy,Low Tuck Kwong,74.0,Indonesia,Coal,Energy,Indonesia,True,U,M,4/17/1948 0:00,Low Tuck,Kwong,1948.0,4.0,17.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,270203917.0,Coal,,
57,25300,Finance & Investments,Thomas Peterffy,78.0,United States,Discount brokerage,Finance & Investments,United States,True,U,M,9/30/1944 0:00,Peterffy,Thomas,1944.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Discount brokerage,,
58,25200,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,"Fertilizers, coal",Metals & Mining,Russia,True,U,M,3/8/1972 0:00,Melnichenko,Andrey,1972.0,3.0,8.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,9770529.0,Fertilizers, coal,
59,24600,Automotive,Stefan Quandt,56.0,Germany,BMW,Automotive,Germany,False,U,M,5/9/1966 0:00,Quandt,Stefan,1966.0,5.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,BMW,,
60,24400,Technology,MacKenzie Scott,52.0,United States,Amazon,Technology,United States,False,D,F,4/7/1970 0:00,Scott,MacKenzie,1970.0,4.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Amazon,,
61,24200,Finance & Investments,R. Budi Hartono,82.0,Indonesia,"Banking, tobacco",Finance & Investments,Indonesia,False,U,M,1/1/1941 0:00,Hartono,R. Budi,1941.0,1.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,270203917.0,Banking, tobacco,
62,23700,Metals & Mining,Vladimir Potanin,62.0,Russia,Metals,Metals & Mining,Russia,True,U,M,1/3/1961 0:00,Potanin,Vladimir,1961.0,1.0,3.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Metals,,
63,23500,Technology,Jack Ma,58.0,China,E-commerce,Technology,China,True,U,M,9/10/1964 0:00,Ma,Jack,1964.0,9.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,E-commerce,,
64,23400,Manufacturing,He Xiangjian & family,80.0,China,Home appliances,Manufacturing,China,True,D,M,8/11/1942 0:00,He,Xiangjian,1942.0,8.0,11.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Home appliances,,
65,23100,Metals & Mining,Iris Fontbona & family,80.0,Chile,Mining,Metals & Mining,Chile,False,U,F,1/1/1943 0:00,Fontbona,Iris,1943.0,1.0,1.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18952038.0,Mining,,
65,23100,Manufacturing,Michael Hartono,83.0,Indonesia,"Banking, tobacco",Manufacturing,Indonesia,False,U,M,10/2/1939 0:00,Hartono,Michael,1939.0,10.0,2.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,270203917.0,Banking, tobacco,
67,22900,Manufacturing,James Ratcliffe,70.0,United Kingdom,Chemicals,Manufacturing,United Kingdom,True,U,M,1/1/1953 0:00,Ratcliffe,James,1953.0,1.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Chemicals,,
68,22600,Healthcare,Cyrus Poonawalla,81.0,India,Vaccines,Healthcare,India,False,D,M,5/11/1941 0:00,Poonawalla,Cyrus,1941.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Vaccines,,
69,22400,Telecom,Masayoshi Son,65.0,Japan,"Internet, telecom",Telecom,Japan,True,U,M,8/11/1957 0:00,Son,Masayoshi,1957.0,8.0,11.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,126226568.0,Internet, telecom,
70,22100,Metals & Mining,Vladimir Lisin,66.0,Russia,"Steel, transport",Metals & Mining,Russia,True,U,M,5/7/1956 0:00,Lisin,Vladimir,1956.0,5.0,7.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Steel, transport,
71,22000,Food & Beverage,Emmanuel Besnier,52.0,France,Cheese,Food & Beverage,France,False,D,M,9/18/1970 0:00,Besnier,Emmanuel,1970.0,9.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,67059887.0,Cheese,,
72,21600,Finance & Investments,Abigail Johnson,61.0,United States,Fidelity,Finance & Investments,United States,False,U,F,12/19/1961 0:00,Johnson,Abigail,1961.0,12.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Fidelity,,
72,21600,Energy,Leonid Mikhelson & family,67.0,Russia,"Gas, chemicals",Energy,Russia,True,U,M,8/11/1955 0:00,Mikhelson,Leonid,1955.0,8.0,11.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Gas, chemicals,
74,21200,Fashion & Retail,Lukas Walton,36.0,United States,Walmart,Fashion & Retail,United States,False,U,M,9/19/1986 0:00,Walton,Lukas,1986.0,9.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Walmart,,
74,21200,Service,Wang Wei,52.0,China,Package delivery,Service,China,True,D,M,10/1/1970 0:00,Wang,Wei,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Package delivery,,
76,21100,Technology,Jensen Huang,60.0,United States,Semiconductors,Technology,United States,True,U,M,2/17/1963 0:00,Huang,Jensen,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Semiconductors,,
77,21000,Fashion & Retail,Leonard Lauder,90.0,United States,Estee Lauder,Fashion & Retail,United States,False,D,M,3/19/1933 0:00,Lauder,Leonard,1933.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Estee Lauder,,
77,21000,Manufacturing,Takemitsu Takizaki,77.0,Japan,Sensors,Manufacturing,Japan,True,D,M,6/10/1945 0:00,Takizaki,Takemitsu,1945.0,6.0,10.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,126226568.0,Sensors,,
79,20900,Metals & Mining,Alexey Mordashov & family,57.0,Russia,"Steel, investments",Metals & Mining,Russia,True,U,M,9/26/1965 0:00,Mordashov,Alexey,1965.0,9.0,26.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Steel, investments,
80,20500,Energy,Vagit Alekperov,72.0,Russia,Oil,Energy,Russia,True,U,M,9/1/1950 0:00,Alekperov,Vagit,1950.0,9.0,1.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Oil,,
81,20200,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Hospitals,Healthcare,United States,True,D,M,8/12/1938 0:00,Frist,Thomas,1938.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hospitals,,
82,19600,Metals & Mining,Andrew Forrest,61.0,Australia,Mining,Metals & Mining,Australia,True,U,M,11/18/1961 0:00,Forrest,Andrew,1961.0,11.0,18.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,25766605.0,Mining,,
83,19100,Finance & Investments,Ray Dalio,73.0,United States,Hedge funds,Finance & Investments,United States,True,D,M,8/8/1949 0:00,Dalio,Ray,1949.0,8.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
84,19000,Automotive,Eric Li,59.0,China,Automobiles,Automotive,China,True,D,M,6/1/1963 0:00,Li,Eric,1963.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Automobiles,,
84,19000,Metals & Mining,Wang Wenyin,55.0,China,"Mining, copper products",Metals & Mining,China,True,U,M,3/1/1968 0:00,Wang,Wenyin,1968.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Mining, copper products,
86,18900,Diversified,Eyal Ofer,72.0,Monaco,"Real estate, shipping",Diversified,Israel,False,U,M,6/2/1950 0:00,Ofer,Eyal,1950.0,6.0,2.0,,,7184844193.0,,,,38964.0,Real estate, shipping,
86,18900,Food & Beverage,Qin Yinglin,57.0,China,Pig breeding,Food & Beverage,China,True,D,M,4/17/1965 0:00,Qin,Yinglin,1965.0,4.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Pig breeding,,
88,18700,Automotive,Wang Chuanfu,57.0,China,"Batteries, automobiles",Automotive,China,True,D,M,2/15/1966 0:00,Wang,Chuanfu,1966.0,2.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Batteries, automobiles,
89,18500,Energy,Harold Hamm & family,77.0,United States,Oil & gas,Energy,United States,True,U,M,12/11/1945 0:00,Hamm,Harold,1945.0,12.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Oil & gas,,
89,18500,Finance & Investments,David Tepper,65.0,United States,Hedge funds,Finance & Investments,United States,True,U,M,9/11/1957 0:00,Tepper,David,1957.0,9.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
89,18500,Energy,Gennady Timchenko,70.0,Russia,"Oil, gas",Energy,Russia,True,U,M,11/9/1952 0:00,Timchenko,Gennady,1952.0,11.0,9.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,144373535.0,Oil, gas,
92,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Quicken Loans,Finance & Investments,United States,True,D,M,1/17/1962 0:00,Gilbert,Daniel,1962.0,1.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Quicken Loans,,
93,17700,Metals & Mining,Lakshmi Mittal,72.0,United Kingdom,Steel,Metals & Mining,India,False,D,M,6/15/1950 0:00,Mittal,Lakshmi,1950.0,6.0,15.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,66834405.0,Steel,,
94,17500,Finance & Investments,Steve Cohen,66.0,United States,Hedge funds,Finance & Investments,United States,True,U,M,6/11/1956 0:00,Cohen,Steve,1956.0,6.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Hedge funds,,
94,17500,Finance & Investments,Carl Icahn,87.0,United States,Investments,Finance & Investments,United States,True,U,M,2/16/1936 0:00,Icahn,Carl,1936.0,2.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Investments,,
94,17500,Metals & Mining,Savitri Jindal & family,73.0,India,Steel,Metals & Mining,India,False,D,F,3/20/1950 0:00,Jindal,Savitri,1950.0,3.0,20.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,1366417754.0,Steel,,
97,17400,Real Estate,Donald Bren,90.0,United States,Real estate,Real Estate,United States,True,U,M,5/11/1932 0:00,Bren,Donald,1932.0,5.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Real estate,,
97,17400,Fashion & Retail,"John Menard, Jr.",83.0,United States,Home improvement stores,Fashion & Retail,United States,True,U,M,1/22/1940 0:00,Menard,John,1940.0,1.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Home improvement stores,,
99,17100,Media & Entertainment,Rupert Murdoch & family,92.0,United States,"Newspapers, TV network",Media & Entertainment,United States,False,D,M,3/11/1931 0:00,Murdoch,Rupert,1931.0,3.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Newspapers, TV network,
100,16700,Finance & Investments,Vicky Safra & family,70.0,Switzerland,Banking,Finance & Investments,Brazil,False,U,F,1/1/1953 0:00,Safra,Vicky,1953.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Banking,,
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72.0,Germany,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,D,M,1/1/1951 0:00,Albrecht,Theo,1951.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,83132799.0,Aldi, Trader Joe's,
101,16500,Finance & Investments,Renata Kellnerova & family,55.0,Czech Republic,"Finance, telecommunications",Finance & Investments,Czech Republic,False,D,F,7/4/1967 0:00,Kellnerova,Renata,1967.0,7.0,4.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,10669709.0,Finance, telecommunications,
103,16300,Healthcare,Li Xiting,72.0,China,medical devices,Healthcare,Singapore,True,D,M,1/1/1951 0:00,Li,Xiting,1951.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,medical devices,,
104,16200,Fashion & Retail,Stefan Persson,75.0,Sweden,H&M,Fashion & Retail,Sweden,False,D,M,10/4/1947 0:00,Persson,Stefan,1947.0,10.0,4.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,10285453.0,H&M,,
104,16200,Technology,Eric Schmidt,67.0,United States,Google,Technology,United States,True,D,M,4/27/1955 0:00,Schmidt,Eric,1955.0,4.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,328239523.0,Google,,
106,16000,Finance & Investments,Michael Platt,55.0,Switzerland,Hedge funds,Finance & Investments,United Kingdom,True,U,M,3/18/1968 0:00,Platt,Michael,1968.0,3.0,18.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,8574832.0,Hedge funds,,
107,15900,Food & Beverage,Pang Kang,67.0,China,Soy sauce,Food & Beverage,China,True,D,M,1/19/1956 0:00,Pang,Kang,1956.0,1.0,19.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,1397715000.0,Soy sauce,,
